1F,1T,2F,2T,3F,3T,4F,4T
606,1,479,10,315,9,222,78
3,0,2,0,4,0,1,4
460,1,425,8,426,16,268,97
6,0,12,0,6,1,6,5
333,4,411,12,422,10,338,142
11,0,10,0,15,2,17,5
195,2,274,2,314,15,321,138
84,2,101,2,140,11,120,66
831,5,467,4,274,7,98,57
8,0,1,0,2,0,1,0
433,0,582,16,492,17,105,45
6,0,6,0,9,0,1,3
285,4,511,8,580,24,193,58
14,0,13,1,30,2,18,6
79,1,93,3,192,10,631,230
42,0,41,2,63,4,246,136
697,5,505,8,325,13,166,77
3,0,1,0,3,0,2,0
465,2,506,11,421,23,137,60
3,0,7,2,7,0,1,2
325,2,456,7,532,18,240,105
19,0,22,1,30,3,10,2
133,1,136,5,228,4,533,205
53,0,81,0,96,3,204,84
781,4,456,5,284,11,142,67
8,0,5,0,3,0,1,6
446,3,580,10,476,17,132,33
5,0,9,1,7,0,2,1
272,1,502,14,601,20,191,60
4,0,20,0,27,1,13,4
118,2,96,3,187,10,622,165
64,0,46,1,57,5,190,199
782,3,450,5,283,12,141,60
5,0,3,0,3,0,1,0
411,4,610,12,500,17,112,43
4,0,6,0,9,0,4,2
290,2,478,14,578,25,182,44
19,0,26,0,29,2,13,1
128,1,103,3,202,7,649,186
59,0,38,0,38,1,191,199
838,5,464,6,265,8,96,59
5,0,3,0,2,0,1,0
442,2,621,12,482,21,107,35
7,0,14,0,10,0,1,2
268,1,466,14,598,22,176,59
6,0,12,0,34,2,8,3
96,2,101,1,195,8,729,170
36,0,33,1,56,3,175,207
495,0,421,9,386,13,317,104
2,0,1,0,1,0,2,0
381,3,409,5,372,15,256,113
10,0,6,0,5,0,4,1
366,3,424,10,414,14,290,131
19,0,14,1,22,3,16,4
297,4,314,5,320,13,275,116
128,0,125,4,122,6,133,66
863,2,506,11,210,7,67,20
4,0,3,0,4,0,0,2
494,2,573,10,408,9,184,71
8,0,9,1,16,0,3,2
225,5,367,10,508,21,343,143
10,0,18,0,12,1,16,18
72,1,177,2,335,20,472,180
22,0,61,0,149,6,208,99
