1F,1T,2F,2T,3F,3T,4F,4T
680,38,281,42,157,40,66,32
46,4,17,2,22,3,8,3
309,25,168,22,118,29,47,14
40,4,17,12,19,4,8,1
164,15,89,18,87,23,46,11
46,7,25,4,19,15,13,3
74,10,64,5,44,13,24,8
28,2,23,1,16,4,9,6
54,2,29,4,18,2,8,0
1,1,0,0,0,0,0,0
49,3,40,7,43,9,20,4
85,17,19,5,13,8,9,4
186,13,114,15,65,13,27,11
939,55,443,69,314,88,140,49
0,0,0,0,0,0,0,0
73,14,39,6,29,11,17,10
1020,73,443,60,278,68,125,49
31,6,16,7,13,5,9,0
208,16,149,19,111,34,56,14
15,2,9,2,4,2,1,1
76,4,50,14,58,14,20,8
9,1,5,2,8,4,6,4
27,3,12,2,10,4,4,2
1,0,0,0,0,0,0,0
1153,73,466,71,300,72,135,48
11,3,4,2,6,2,0,0
160,17,145,19,84,30,44,18
0,1,2,1,2,0,1,1
50,10,53,10,73,18,32,7
4,1,4,2,10,6,0,2
7,0,6,0,7,3,9,1
2,0,4,1,0,0,0,1
1243,89,528,71,319,84,158,54
1,1,1,0,0,0,0,0
110,11,106,18,94,27,31,19
0,0,0,4,2,1,0,0
31,2,48,11,60,10,25,5
0,1,0,1,3,8,2,0
2,1,1,1,4,1,4,0
0,0,0,0,0,0,1,0
855,43,259,20,126,15,46,15
48,15,19,5,17,12,3,7
270,13,201,25,111,18,60,10
11,11,17,14,8,9,5,5
116,10,111,18,126,23,52,11
19,5,19,16,31,32,11,10
54,6,47,4,50,16,32,6
14,2,11,4,13,6,12,14
536,29,117,4,27,6,18,5
35,6,30,6,16,1,10,1
198,6,166,14,117,14,53,12
3,2,5,2,1,1,0,1
130,8,86,19,109,34,48,13
148,41,117,51,117,59,50,34
321,12,154,9,86,14,39,11
16,1,9,1,9,2,3,1
1014,75,455,62,277,70,122,49
32,4,17,6,15,2,8,2
211,17,138,18,109,32,55,12
13,1,8,3,6,2,3,1
79,4,48,12,59,16,20,8
11,1,5,2,7,4,7,4
26,3,13,3,9,5,6,2
1,0,0,0,0,0,0,0
1135,58,388,35,188,28,86,22
15,16,9,8,3,3,1,6
175,20,196,28,115,34,47,8
6,3,6,15,6,10,3,2
43,4,60,12,137,33,59,22
3,2,6,6,13,15,7,7
9,2,18,1,18,5,15,3
1,0,1,1,2,3,3,8
1172,62,381,42,153,28,77,21
6,7,4,4,2,3,1,5
177,19,207,21,127,24,54,8
0,1,2,11,2,5,2,2
30,11,81,16,169,37,62,21
0,2,3,9,15,24,10,11
1,3,6,1,12,5,12,3
1,0,0,2,2,5,3,7
790,36,246,38,123,28,62,13
43,11,22,7,9,5,6,5
273,21,175,22,118,21,50,13
28,6,17,8,17,13,8,9
145,14,126,12,110,30,43,8
31,10,33,8,30,15,12,14
66,4,52,5,61,14,31,10
11,3,13,6,14,5,9,6
1383,100,665,99,448,115,209,66
1,1,1,0,1,0,2,1
1,0,3,0,1,0,1,0
0,0,0,0,0,0,0,0
2,2,14,4,30,16,9,11
0,2,1,3,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1013,75,454,63,279,71,122,49
32,4,17,6,14,2,8,2
211,17,138,18,108,31,55,12
14,1,8,3,6,2,3,1
79,4,49,11,59,16,20,8
11,1,5,2,7,4,7,4
26,3,13,3,9,5,6,2
1,0,0,0,0,0,0,0
1087,73,408,50,220,49,107,29
12,9,10,5,2,3,0,2
200,17,175,19,111,21,49,10
4,2,4,3,10,0,2,1
63,0,73,19,95,29,38,19
7,2,7,7,19,20,14,8
