1F,1T,2F,2T,3F,3T,4F,4T
54,2,29,4,18,2,8,0
1,1,0,0,0,0,0,0
49,3,40,7,43,9,20,4
85,17,19,5,13,8,9,4
186,13,114,15,65,13,27,11
939,55,443,69,314,88,140,49
0,0,0,0,0,0,0,0
73,14,39,6,29,11,17,10
536,29,117,4,27,6,18,5
35,6,30,6,16,1,10,1
198,6,166,14,117,14,53,12
3,2,5,2,1,1,0,1
130,8,86,19,109,34,48,13
148,41,117,51,117,59,50,34
321,12,154,9,86,14,39,11
16,1,9,1,9,2,3,1
1383,100,665,99,448,115,209,66
1,1,1,0,1,0,2,1
1,0,3,0,1,0,1,0
0,0,0,0,0,0,0,0
2,2,14,4,30,16,9,11
0,2,1,3,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
136,12,73,11,66,15,32,8
0,0,0,0,0,0,0,0
591,10,318,30,232,23,93,15
30,16,7,10,3,8,0,3
585,63,272,38,160,56,78,33
8,3,6,16,11,27,6,14
24,0,7,0,9,0,12,0
13,1,1,1,1,2,0,5
983,41,384,30,190,24,80,17
1,5,0,3,0,1,0,0
8,3,4,0,3,0,3,0
9,7,8,14,2,12,3,3
228,9,178,15,166,29,73,15
24,34,14,31,11,43,4,31
84,2,76,5,91,7,47,6
50,4,20,8,19,15,11,6
125,2,23,1,11,1,4,1
14,16,6,13,9,6,1,2
523,13,228,17,91,13,31,9
19,16,16,24,15,25,7,15
305,30,187,23,207,46,100,24
8,13,1,12,0,14,4,5
379,13,220,16,145,23,74,18
14,2,3,0,4,3,0,4
1364,83,677,103,478,130,221,77
0,0,0,0,0,0,0,0
10,4,3,2,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
12,18,4,1,2,1,0,0
0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,1
842,21,115,4,38,2,8,2
45,37,33,14,11,20,2,4
408,28,414,50,205,36,51,6
4,1,2,4,4,3,2,2
61,13,79,20,134,33,72,26
0,0,7,3,5,9,4,6
27,5,34,11,83,26,79,29
0,0,0,0,2,2,3,3
