1F,1T,2F,2T,3F,3T,4F,4T
606,3,460,6,333,11,195,84
1,0,1,0,4,0,2,2
479,2,425,12,411,10,274,101
10,0,8,0,12,0,2,2
315,4,426,6,422,15,314,140
9,0,16,1,10,2,15,11
222,1,268,6,338,17,321,120
78,4,97,5,142,5,138,66
831,8,433,6,285,14,79,42
5,0,0,0,4,0,1,0
467,1,582,6,511,13,93,41
4,0,16,0,8,1,3,2
274,2,492,9,580,30,192,63
7,0,17,0,24,2,10,4
98,1,105,1,193,18,631,246
57,0,45,3,58,6,230,136
697,3,465,3,325,19,133,53
5,0,2,0,2,0,1,0
505,1,506,7,456,22,136,81
8,0,11,2,7,1,5,0
325,3,421,7,532,30,228,96
13,0,23,0,18,3,4,3
166,2,137,1,240,10,533,204
77,0,60,2,105,2,205,84
781,8,446,5,272,4,118,64
4,0,3,0,1,0,2,0
456,5,580,9,502,20,96,46
5,0,10,1,14,0,3,1
284,3,476,7,601,27,187,57
11,0,17,0,20,1,10,5
142,1,132,2,191,13,622,190
67,6,33,1,60,4,165,199
782,5,411,4,290,19,128,59
3,0,4,0,2,0,1,0
450,3,610,6,478,26,103,38
5,0,12,0,14,0,3,0
283,3,500,9,578,29,202,38
12,0,17,0,25,2,7,1
141,1,112,4,182,13,649,191
60,0,43,2,44,1,186,199
838,5,442,7,268,6,96,36
5,0,2,0,1,0,2,0
464,3,621,14,466,12,101,33
6,0,12,0,14,0,1,1
265,2,482,10,598,34,195,56
8,0,21,0,22,2,8,3
96,1,107,1,176,8,729,175
59,0,35,2,59,3,170,207
495,2,381,10,366,19,297,128
0,0,3,0,3,0,4,0
421,1,409,6,424,14,314,125
9,0,5,0,10,1,5,4
386,1,372,5,414,22,320,122
13,0,15,0,14,3,13,6
317,2,256,4,290,16,275,133
104,0,113,1,131,4,116,66
863,4,494,8,225,10,72,22
2,0,2,0,5,0,1,0
506,3,573,9,367,18,177,61
11,0,10,1,10,0,2,0
210,4,408,16,508,12,335,149
7,0,9,0,21,1,20,6
67,0,184,3,343,16,472,208
20,2,71,2,143,18,180,99
